id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,status,ISO,media_code,media_code_legacy_botg,media_code_legacy_karawane
73,Savaii,Savaii,Savaii,Savaii,,in review,,,,
74,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,105,active,DE-SH,,,
75,Selous,Selous,Selous,Selous,,in review,,,,
76,South Ari Atoll,South Ari Atoll,South Ari Atoll,South Ari Atoll,,in review,,,,
77,South Australia,South Australia,South Australia,South Australia,186,active,AU-SA,SA,AUS_SA,AUS_SA
78,South Carolina,South Carolina,South Carolina,South Carolina,185,active,US-SC,SC,USA_SC,USA_SC
79,Sumatra,Sumatra,Sumatra,Sumatra,,in review,,,,
80,Suratthanee,Surat Thani,Suratthanee,Suratthanee,79,active,TH-84,,,
81,Südinsel,Südinsel,Südinsel,Südinsel,,in review,,,,
82,Tahaa,Tahaa,Tahaa,Tahaa,,in review,,,,
83,Tahiti,Tahiti,Tahiti,Tahiti,,in review,,,,
84,Tanna,Tanna,Tanna,Tanna,,in review,,,,
85,Tasmania,Tasmania,Tasmania,Tasmania,186,active,AU-TAS,TAS,AUS_TAS,AUS_TAS
86,Taveuni,Taveuni,Taveuni,Taveuni,,in review,,,,
87,Tetiaroa,Tetiaroa,Tetiaroa,Tetiaroa,,in review,,,,
88,Tikehau,Tikehau,Tikehau,Tikehau,,in review,,,,
89,Tongatapu,Tongatapu,Tongatapu,Tongatapu,,in review,,,,
90,Tsimshatsui,Tsimshatsui,Tsimshatsui,Tsimshatsui,,in review,,,,
91,Tuamotu,Tuamotu,Tuamotu,Tuamotu,,in review,,,,
92,Upolu,Upolu,Upolu,Upolu,,in review,,,,
93,Vanua Levu,Vanua Levu,Vanua Levu,Vanua Levu,,in review,,,,
94,Vavau,Vavau,Vavau,Vavau,,in review,,,,
95,Victoria,Victoria,Victoria,Victoria,186,active,AU-VIC,VIC,AUS_VIC,AUS_VIC
96,Viti Levu,Viti Levu,Viti Levu,Viti Levu,,in review,,,,
97,Washington,Washington,Washington,Washington,185,active,US-WA,DC,USA_DC,USA_DC
98,Western Australia,Western Australia,Western Australia,Western Australia,186,active,AU-WA,WA,AUS_WA,AUS_WA
99,Western Cape,Western Cape,Western Cape,Western Cape,37,active,ZA-WC,WEC,RSA_WEC,
100,Yasawa Inseln,Yasawa Inseln,Yasawa Inseln,Yasawa Inseln,,in review,,,,
101,Yukon,Yukon,Yukon,Yukon,183,active,CA-YT,YT,KAN_YT,KAN_YT
102,Zanzibar,Zanzibar,Zanzibar,Zanzibar,,in review,,,,
