id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
271,Uturoa,Uturoa,Uturoa,Uturoa,,19,,72,,
272,Vaitape,Vaitape,Vaitape,Vaitape,,19,,66,,
273,Isabela,Isabela,Isabela,Isabela,948,20,,75,,
274,San Cristobal,San Cristobal,San Cristobal,San Cristobal,2133,20,,75,51,3823
275,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,2158,20,,75,51,3820
276,Kowloon,Kowloon,Kowloon,Kowloon,,22,,,,
277,Amboseli Nationalpark,Amboseli Nationalpark,Amboseli Nationalpark,Amboseli Nationalpark,57,28,,,,
278,Chale Island,Chale Island,Chale Island,Chale Island,,28,,,,
279,Diani Beach,Diani Beach,Diani Beach,Diani Beach,,28,,,,
280,Lake Naivasha,Lake Naivasha,Lake Naivasha,Lake Naivasha,1205,28,,,,
281,Masai Mara,Masai Mara,Masai Mara,Masai Mara,1420,28,,,51,3532
282,Meru Nationalpark,Meru Nationalpark,Meru Nationalpark,Meru Nationalpark,1482,28,,,,
283,Nairobi,Nairobi,Nairobi,Nairobi,1615,28,,,51,3528
284,Samburu Nationalreservat,Samburu Nationalreservat,Samburu Nationalreservat,Samburu Nationalreservat,2127,28,,,,
285,Tsavo West Nationalpark,Tsavo West Nationalpark,Tsavo West Nationalpark,Tsavo West Nationalpark,2470,28,,,,
286,Watamu,Watamu,Watamu,Watamu,2583,28,,,,
287,Bogota,Bogota,Bogota,Bogota,234,29,,76,51,37987
288,Cartagena,Cartagena,Cartagena,Cartagena,365,29,,,51,37988
289,"El Poblado (Provenza), Medellin","El Poblado (Provenza), Medellin","El Poblado (Provenza), Medellin","El Poblado (Provenza), Medellin",,29,,78,,
