id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,cid_primarix,id_primarix
1,Tierra del Fuego,Feuerland,Feuerland,Vuurland,3,50,121759
2,Northwest,Nordwesten,Nordwesten,Noordwesten,3,50,121754
3,Patagonia,Patagonien,Patagonien,Patagonië,3;12,50,121751
4,Wine Region,Weinregion,Weinregion,Wijnregio,3,50,121756
5,Canberra,Canberra,Canberra,Canberra,6,50,3203
6,Cradle Mountain Lake St. Clair National Park,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair Nationaal Park,6,50,3180
7,Flinders Ranges,Flinders Ranges,Flinders Ranges,Flinders Ranges,6,50,3121
8,Freycinet National Park,Freycinet Nationalpark,Freycinet Nationalpark,Freycinet Nationaal Park,6,50,3181
9,Grampians,Grampians,Grampians,Grampians,6,50,3118
10,Great Barrier Reef Islands,Great Barrier Reef Inseln,Great Barrier Reef Inseln,Great Barrier Reef Eilanden,6,50,3161
11,Great Ocean Road,Great Ocean Road,Great Ocean Road,Great Ocean Road,6,50,3119
12,Kangaroo Island,Kangaroo Island,Kangaroo Island,Kangaroo Island,6,50,3122
13,Kimberley,Kimberleys,Kimberleys,Kimberley,6,50,3126
14,Lord Howe Island,Lord Howe Island,Lord Howe Island,Lord Howe Island,6,50,3206
15,Outback QLD,Outback QLD,Outback QLD,Outback QLD,6,50,3134
16,Red Centre,Rotes Zentrum,Rotes Zentrum,Rode Centrum,6,50,3128
17,Other NSW,Sonstiges NSW,Sonstiges NSW,Overig NSW,6,50,3205
18,Other NT,Sonstiges NT,Sonstiges NT,Overig NT,6,50,3130
19,Other QLD,Sonstiges QLD,Sonstiges QLD,Overig QLD,6,50,3131
20,Other SA,Sonstiges SA,Sonstiges SA,Overig SA,6,50,3123
21,Other TAS,Sonstiges TAS,Sonstiges TAS,Overig TAS,6,50,3132
22,Other VIC,Sonstiges VIC,Sonstiges VIC,Overig VIC,6,50,3120
23,Other WA,Sonstiges WA,Sonstiges WA,Overig WA,6,50,3127
24,Southwest,Südwesten,Südwesten,Zuidwesten,6,50,3124
25,Top End,Top End,Top End,Top End,6,50,3129
26,Tropical QLD,Tropisches QLD,Tropisches QLD,Tropisch QLD,6,50,3133
27,West Coast (Australia),Westküste (Australien),Westküste (Australien),Westkust (Australië),6,50,3125
28,Inland,Inland,Inland,Binnenland,7,50,122063
29,Caribbean Coast (Belize),Karibikküste (Belize),Karibikküste (Belize),Caribische Kust (Belize),7,50,122064
30,Andean Highlands,Andenhochland,Andenhochland,Andeshooglanden,9,50,121768
31,La Paz,La Paz,La Paz,La Paz,9,50,121767
32,Chobe River,Chobe Fluss,Chobe Fluss,Chobe Rivier,10,50,3168
33,Kalahari (Botswana),Kalahari (Botswana),Kalahari (Botswana),Kalahari (Botswana),10,50,3172
34,Khwai,Khwai,Khwai,Khwai,10,50,82179
35,Linyanti,Linyanti,Linyanti,Linyanti,10,50,3169
36,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pannen,10,50,3171
37,Moremi Game Reserve,Moremi Wildreservat,Moremi Wildreservat,Moremi Wildreservaat,10,50,3174
38,Okavango Delta,Okavango Delta,Okavango Delta,Okavango Delta,10,50,3183
39,Savuti,Savuti,Savuti,Savuti,10,50,3170
40,Other Botswana,Sonstiges Botswana,Sonstiges Botswana,Overig Botswana,10,50,101918
41,Iguazu,Iguacu,Iguacu,Iguazu,11,50,121783
42,Northeast,Nordosten,Nordosten,Noordoosten,11,50,121781
43,Pantanal,Pantanal,Pantanal,Pantanal,11,50,121785
44,Rio de Janeiro / Buzios,Rio de Janeiro / Buzios,Rio de Janeiro / Buzios,Rio de Janeiro / Buzios,11,50,121778
45,Brazil,Brasilien,Brasilien,Brazilië,11,50,121777
46,Atacama Desert,Atacama Wüste,Atacama Wüste,Atacamawoestijn,12,50,121746
47,Easter Island,Osterinsel,Osterinsel,Paaseiland,12,50,121749
48,Santiago / Central Chile,Santiago / Zentral-Chile,Santiago / Zentral-Chile,Santiago / Centraal-Chili,12,50,121748
49,Lake District,Seenregion,Seenregion,Merendistrict,12,50,121750
50,Aitutaki,Aitutaki,Aitutaki,Aitutaki,14,50,3151
