timestamp,table,rows,bytes,dead_tuples
2026-06-04 18:28:02,directus_activity,268509,159727616,868
2026-06-04 18:28:02,directus_operations,834,573440,0
2026-06-04 18:28:02,directus_revisions,268655,1232617472,865
2026-06-04 18:33:02,directus_activity,268509,159727616,1690
2026-06-04 18:33:02,directus_operations,834,573440,0
2026-06-04 18:33:02,directus_revisions,268655,1232617472,1335
2026-06-04 18:38:03,directus_activity,268509,159727616,2254
2026-06-04 18:38:03,directus_operations,834,573440,0
2026-06-04 18:38:03,directus_revisions,268655,1232617472,1899
2026-06-04 18:43:03,directus_activity,268509,159727616,2867
2026-06-04 18:43:03,directus_operations,834,573440,0
2026-06-04 18:43:03,directus_revisions,268655,1232617472,2512
2026-06-04 18:48:04,directus_activity,268509,159727616,3549
2026-06-04 18:48:04,directus_operations,834,573440,0
2026-06-04 18:48:04,directus_revisions,268655,1232617472,3194
2026-06-04 18:53:04,directus_activity,268509,159727616,4208
2026-06-04 18:53:04,directus_operations,834,573440,0
2026-06-04 18:53:04,directus_revisions,268655,1232617472,3853
2026-06-04 18:58:05,directus_activity,268509,159727616,4971
2026-06-04 18:58:05,directus_operations,834,573440,0
2026-06-04 18:58:05,directus_revisions,268655,1232617472,4616
2026-06-04 19:03:05,directus_activity,268509,159727616,5523
2026-06-04 19:03:05,directus_operations,834,573440,0
2026-06-04 19:03:05,directus_revisions,268655,1232617472,5164
2026-06-04 19:08:06,directus_activity,268509,159727616,6167
2026-06-04 19:08:06,directus_operations,834,573440,0
2026-06-04 19:08:06,directus_revisions,268655,1232617472,5808
2026-06-04 19:13:06,directus_activity,268509,159727616,6725
2026-06-04 19:13:06,directus_operations,834,573440,0
2026-06-04 19:13:06,directus_revisions,268655,1232617472,6366
2026-06-04 19:18:07,directus_activity,268509,159727616,7297
2026-06-04 19:18:07,directus_operations,834,573440,0
2026-06-04 19:18:07,directus_revisions,268655,1232617472,6938
2026-06-04 19:23:07,directus_activity,268509,159727616,8040
2026-06-04 19:23:07,directus_operations,834,573440,0
2026-06-04 19:23:07,directus_revisions,268655,1232617472,7681
2026-06-04 19:28:08,directus_activity,268509,159727616,8351
2026-06-04 19:28:08,directus_operations,834,573440,0
2026-06-04 19:28:08,directus_revisions,268655,1232617472,7992
2026-06-04 19:33:08,directus_activity,268509,159727616,8991
2026-06-04 19:33:08,directus_operations,834,573440,0
2026-06-04 19:33:08,directus_revisions,268655,1232617472,8632
